,,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
0-14歲人口數(人),西元年,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"3,048,227","138,556","489,922","363,657","334,424","405,496","230,504","331,992","54,363","90,788","68,846","166,429","53,873","78,610","47,764","88,101","25,738","39,277","11,006","38,863","77,048","36,924","13,075","1,527"
,2019,"3,010,351","136,834","486,253","355,500","334,572","400,574","227,496","328,427","53,627","91,456","66,926","163,021","53,113","76,782","46,469","86,149","25,127","38,716","10,893","38,171","76,713","35,968","12,858","1,540"
,2020,"2,963,396","134,700","482,286","344,525","331,764","394,806","223,484","323,231","52,865","91,924","65,571","160,083","52,375","74,724","44,930","84,227","24,595","37,999","10,926","37,499","76,360","35,103","12,614","1,505"
,2021,"2,889,908","131,359","472,393","326,440","326,025","386,597","218,238","316,218","52,012","91,756","63,925","155,743","50,980","72,509","43,257","82,176","23,912","37,111","10,734","36,504","75,296","34,272","12,339","1,471"
,2022,"2,819,169","128,144","460,811","312,209","319,714","379,633","213,467","309,049","51,141","91,302","62,217","151,252","49,333","70,283","41,949","80,576","23,604","36,247","10,634","35,582","73,597","33,296","11,845","1,428"
15-64歲人口數(人),西元年,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"17,107,188","777,599","2,966,090","1,846,280","1,633,235","2,057,546","1,370,073","2,025,105","328,214","397,706","392,328","915,292","357,793","483,835","362,638","601,035","157,923","236,527","76,699","273,294","315,159","191,961","108,393","10,062"
,2019,"16,985,643","772,075","2,953,932","1,811,597","1,642,117","2,052,438","1,357,463","2,006,319","325,380","401,426","388,155","906,565","352,746","478,365","357,640","591,915","155,418","233,265","76,951","269,711","315,824","190,265","108,178","9,973"
,2020,"16,810,525","764,115","2,930,407","1,762,254","1,644,984","2,041,377","1,342,162","1,981,308","322,020","404,912","383,908","895,705","346,914","472,898","352,944","582,078","153,082","229,698","76,920","265,671","315,940","187,581","107,664","10,098"
,2021,"16,546,373","752,108","2,885,782","1,693,847","1,637,326","2,021,944","1,321,615","1,947,034","317,592","407,160","378,524","881,110","339,627","465,601","345,946","571,091","150,748","225,434","76,783","260,227","315,774","185,463","107,394","10,351"
,2022,"16,359,678","743,622","2,853,380","1,649,878","1,636,005","2,010,536","1,305,385","1,919,113","314,394","410,033","375,010","870,239","333,698","460,188","340,307","562,552","149,108","221,912","77,008","256,162","314,823","183,116","106,233","10,598"
65歲以上人口數(人),西元年,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"3,433,517","156,069","539,705","458,635","253,213","340,852","283,254","416,436","72,644","68,516","87,689","196,103","85,365","123,577","96,666","136,270","35,258","52,164","16,735","57,998","53,428","39,737","17,805","1,467"
,2019,"3,607,127","163,960","578,511","477,944","272,348","362,249","295,947","438,452","75,171","71,051","90,378","203,216","88,253","126,159","99,004","141,120","36,236","54,266","17,363","61,011","56,266","41,457","19,149","1,576"
,2020,"3,787,315","172,151","618,261","495,639","292,059","384,604","309,271","461,393","78,202","73,939","93,111","210,882","91,543","129,251","101,607","146,353","37,584","56,675","18,106","64,407","59,112","43,321","20,319","1,676"
,2021,"3,939,033","179,047","649,938","504,106","309,040","404,949","322,206","481,439","81,088","76,664","95,729","218,477","94,290","132,022","104,113","151,173","38,726","58,813","18,823","67,246","61,570","44,992","21,806","1,823"
,2022,"4,085,793","185,718","681,360","518,594","325,745","424,290","334,145","499,975","83,527","79,168","97,905","223,748","96,564","133,621","105,902","155,575","39,839","60,733","19,581","69,782","64,053","46,512","23,217","1,957"
,,,,,,,,,,,,,,,,,,,,,,,,,
